Paper_ID,DOI,Affiliation_ID,Year,Keyword,AffiliationGroup,ListedAffiliation,Author,Author_ID
73,10.1002/ecy.1647,2,2017,NoMatch,Unmatched,1University1,"Grabowski, Jonathan H.",151
73,10.1002/ecy.1647,2,2017,NoMatch,Unmatched,1University1,"Trussell, Geoffrey C.",371
74,10.1002/ecy.1648,3,2017,NoMatch,Unmatched,"McGill Univ, Redpath Museum, Montreal, PQ H3A 2K6, Canada","Sharpe, D. M. T.",372
77,10.1002/ecy.1654,7,2017,NoMatch,Unmatched,"Univ Iceland, Reykjavik, Iceland","Einarsson, Arni",394
86,10.1002/ecy.1667/suppinfo,4,2017,NoMatch,Unmatched,"Univ Padua, DAFNAE, Viale Univ 16, I-75651 Padua, Italy","Marini, Lorenzo",433
91,,1,2017,NoMatch,Unmatched,1University1,"Clark, J. S.",458
92,10.1002/ecy.1453/suppinfo,1,2017,NoMatch,Unmatched,1University1,"Pan, Qingmin",459
92,10.1002/ecy.1453/suppinfo,1,2017,NoMatch,Unmatched,1University1,"Tian, Dashuan",460
100,10.1002/ecy.1620,2,2017,NoMatch,Unmatched,1University1,"Datu, Andrew",484
100,10.1002/ecy.1620,2,2017,NoMatch,Unmatched,1University1,Thi Tran,485
100,10.1002/ecy.1620,2,2017,NoMatch,Unmatched,1University1,"Sheng, Daniel C.",486
100,10.1002/ecy.1620,2,2017,NoMatch,Unmatched,1University1,"Mooney, Kailen A.",487
104,10.1002/ecy.1625,5,2017,NoMatch,Unmatched,"Univ Oklahoma, Norman, OK 73019 USA","Brumfield, Marisa D.",506
111,10.1002/ecy.1632,7,2017,NoMatch,Unmatched,1University1,"Howe, Glenn Thomas",534
119,10.1002/ecy.1597,9,2016,NoMatch,Unmatched,"Univ Alberta, CEOS, Edmonton, AB T6G 2E3, Canada","Sanchez-Azofeifa, Arturo",556
120,10.1002/ecy.1613,5,2016,NoMatch,Unmatched,"Univ Utrecht, NL-4400 AC Yerseke, Netherlands","Zhu, Zhenchang",557
120,10.1002/ecy.1613,5,2016,NoMatch,Unmatched,"Univ Utrecht, NL-4400 AC Yerseke, Netherlands","van Belzen, Jim",558
120,10.1002/ecy.1613,5,2016,NoMatch,Unmatched,"Univ Utrecht, NL-4400 AC Yerseke, Netherlands","Hong, Tao",559
120,10.1002/ecy.1613,5,2016,NoMatch,Unmatched,"Univ Utrecht, NL-4400 AC Yerseke, Netherlands","Ysebaert, Tom",560
120,10.1002/ecy.1613,5,2016,NoMatch,Unmatched,"Univ Utrecht, NL-4400 AC Yerseke, Netherlands","Bouma, Tjeerd J.",561
133,10.1002/ecy.1575,1,2016,NoMatch,Unmatched,"Columbia Univ, 1230 York Ave,Box 20, New York, NY 10065 USA","Cohen, Joel E.",616
142,10.1002/ecy.1589,7,2016,NoMatch,Unmatched,"Monterey Bay Aquarium, 886 Cannery Row, Monterey, CA 93940 USA","Jorgensen, S. J.",650
143,10.1002/ecy.1602,19,2016,NoMatch,Unmatched,"Vancouver Isl Univ, 900 Fifth St, Nanaimo, BC V9R 5S5, Canada","Dudas, Sarah",664
153,10.1002/ecy.1568,1,2016,NoMatch,Unmatched,"Zambian Carnivore Programme, POB 80, Mfuwe, Eastern Provinc, Zambia","Creel, Scott",698
153,10.1002/ecy.1568,1,2016,NoMatch,Unmatched,"Zambian Carnivore Programme, POB 80, Mfuwe, Eastern Provinc, Zambia","Creel, Bridget M.",699
154,10.1002/ecy.1573,3,2016,NoMatch,Unmatched,"Univ Florence, Florence, Italy","Pezzola, Enrico",705
165,10.1002/ecy.1546,1,2016,NoMatch,Unmatched,"Monterey Bay Aquarium Res Inst, 7700 Sandholdt Rd, Moss Landing, CA 95039 USA","Barry, James P.",762
169,10.1002/ecy.1558,4,2016,NoMatch,Unmatched,"Univ Nice Polytech Nice Sophia, F-06903 Sophia Antipolis, France","Viguier, Clement",781
177,10.1002/ecy.1539,1,2016,NoMatch,Unmatched,"Villanova Univ, Villanova, PA 19085 USA","Coldren, G. A.",822
177,10.1002/ecy.1539,1,2016,NoMatch,Unmatched,"Villanova Univ, Villanova, PA 19085 USA","Barreto, C. R.",823
177,10.1002/ecy.1539,1,2016,NoMatch,Unmatched,"Villanova Univ, Villanova, PA 19085 USA","Wykoff, D. D.",824
177,10.1002/ecy.1539,1,2016,NoMatch,Unmatched,"Villanova Univ, Villanova, PA 19085 USA","Langley, J. A.",825
177,10.1002/ecy.1539,1,2016,NoMatch,Unmatched,"Villanova Univ, Villanova, PA 19085 USA","Chapman, S. K.",826
177,10.1002/ecy.1539,1,2016,NoMatch,Unmatched,"West Virginia Univ, Morgantown, WV 26506 USA","Morrissey, E. M.",827
178,10.1002/ecy.1536,4,2016,NoMatch,Unmatched,"Univ Militar Nueva Granada, KM 2 Via Cajic Zipaquira, Zipaquira, Colombia","Jaramillo, M. Alejandra",829
182,10.1002/ecy.1557,5,2016,NoMatch,Unmatched,"Mpala Res Ctr, POB 555, Nanyuki, Kenya","Hassan, Abdikadir A.",845
192,10.1002/ecy.1490,8,2016,NoMatch,Unmatched,"IRNAS, Ave Reina Mercedes 10, Seville 41012, Spain","Maranon, Teodoro",887
192,10.1002/ecy.1490,8,2016,NoMatch,Unmatched,"IRNAS, Ave Reina Mercedes 10, Seville 41012, Spain","Padilla-Diaz, Carmen M.",888
192,10.1002/ecy.1490,8,2016,NoMatch,Unmatched,"IRNAS, Ave Reina Mercedes 10, Seville 41012, Spain","Perez-Ramos, Ignacio M.",889
195,10.1002/ecy.1522,1,2016,NoMatch,Unmatched,"Mpala Res Ctr, POB 555, Nanyuki 10400, Kenya","Pringle, Robert M.",843
195,10.1002/ecy.1522,1,2016,NoMatch,Unmatched,"Mpala Res Ctr, POB 555, Nanyuki 10400, Kenya","Prior, Kirsten M.",897
195,10.1002/ecy.1522,1,2016,NoMatch,Unmatched,"Mpala Res Ctr, POB 555, Nanyuki 10400, Kenya","Palmer, Todd M.",847
195,10.1002/ecy.1522,1,2016,NoMatch,Unmatched,"Mpala Res Ctr, POB 555, Nanyuki 10400, Kenya","Young, Truman P.",898
195,10.1002/ecy.1522,1,2016,NoMatch,Unmatched,"Mpala Res Ctr, POB 555, Nanyuki 10400, Kenya","Goheen, Jacob R.",846
197,10.1002/ecy.1488,2,2016,NoMatch,Unmatched,1University1,"Ghedini, Giulia",910
205,10.1002/ecy.1513,6,2016,NoMatch,Unmatched,"Museu Paraense Emilio Goeldi, Ave Magalhaes Barata 376, Belem, Para, Brazil","Barlow, Jos",938
223,10.1002/ecy.1475,1,2016,NoMatch,Unmatched,"Univ Toulouse 3, CNRS, UMR 5174, EDB, F-31062 Toulouse, France","Zavorka, Libor",1016
235,10.1002/ecy.1481,3,2016,NoMatch,Unmatched,"Univ Montana, Montana Tech, Butte, MT 59701 USA","Pal, Robert W.",1072
239,10.1002/ecy.1445,7,2016,NoMatch,Unmatched,1University1,"Mi, Xiangcheng",1093
251,10.1002/ecy.1545,1,2016,NoMatch,Unmatched,1University1,"Cortez, M. H.",1131
251,10.1002/ecy.1545,1,2016,NoMatch,Unmatched,1University1,"Abrams, P. A.",1132
253,10.1002/ecy.1462,5,2016,NoMatch,Unmatched,"Panthera, Panthera Puma Program, 18th Floor,8 W 40th St, New York, NY 10018 USA","Elbroch, L. Mark",1141
257,10.1890/15-1346.1,10,2016,NoMatch,Unmatched,"NWB Sensors Inc, Bozeman, MT 59718 USA","Nugent, P.",1165
258,10.1890/15-1759.1,11,2016,NoMatch,Unmatched,"Univ Toulouse 3, F-09200 Moulis, France","Loreau, Michel",48
259,10.1002/ecy.1450,27,2016,NoMatch,Unmatched,"Binhai Res Inst Tianjin, Tianjin 300457, Peoples R China","Duan, J. C.",195
267,10.1890/15-1110.1,17,2016,NoMatch,Unmatched,1University1,"Roscher, Christiane",1216
277,10.1002/ecy.1432,11,2016,NoMatch,Unmatched,"165 Braid Rd, Edinburgh EH10 6JE, Midlothian, Scotland","Richardson, Barbara A.",1246
277,10.1002/ecy.1432,11,2016,NoMatch,Unmatched,"165 Braid Rd, Edinburgh EH10 6JE, Midlothian, Scotland","Richardson, Michael J.",1247
279,10.1002/ecy.1447,6,2016,NoMatch,Unmatched,"Univ Leipzig, Leipzig, Germany","Hines, Jes",1253
283,10.1890/15-1264.1,9,2016,NoMatch,Unmatched,"IPE CSIC, Ave Montanana 1005, Zaragoza 50059, Spain","Camarero, J. Julio",1269
297,10.1890/15-0427.1,5,2016,NoMatch,Unmatched,"Inst Univ France, F-75005 Paris, France","Giraudoux, Patrick",1314
312,10.1890/15-1638.1,2,2016,NoMatch,Unmatched,1University1,"Srivastava, Diane S.",934
322,10.1890/15-1152.1,8,2016,NoMatch,Unmatched,"IEB, Santiago, Chile","Squeo, Francisco A.",1385
322,10.1890/15-1152.1,8,2016,NoMatch,Unmatched,"IEB, Santiago, Chile","Gutierrez, Julio R.",1387
345,10.1890/15-1408.1,2,2016,NoMatch,Unmatched,"Univ Exeter, ESI, Penryn TR10 9FE, Cornwall, England","Buckling, Angus",1476
345,10.1890/15-1408.1,2,2016,NoMatch,Unmatched,"Univ Exeter, CEC, Penryn TR10 9FE, Cornwall, England","Buckling, Angus",1476
356,10.1890/15-1669.1,1,2016,NoMatch,Unmatched,"Monterey Bay Aquarium Res Inst, 7700 Sandholdt Rd, Moss Landing, CA 95039 USA","Barry, James P.",762
365,10.1890/15-0693.1,1,2016,NoMatch,Unmatched,"LEHNA, UMR 5023, F-69100 Villeurbanne, France","Cayuela, Hugo",899
365,10.1890/15-0693.1,1,2016,NoMatch,Unmatched,"LEHNA, UMR 5023, F-69100 Villeurbanne, France","Boitaud, Sylvain",1542
365,10.1890/15-0693.1,1,2016,NoMatch,Unmatched,"LEHNA, UMR 5023, F-69100 Villeurbanne, France","Joly, Pierre",903
367,10.1890/15-1549.1,1,2016,NoMatch,Unmatched,"Penn State Univ, Univ Pk, University Pk, PA 16802 USA","Rollinson, Christine R.",1546
367,10.1890/15-1549.1,1,2016,NoMatch,Unmatched,"Penn State Univ, Univ Pk, University Pk, PA 16802 USA","Kaye, Margot W.",1547
367,10.1890/15-1549.1,1,2016,NoMatch,Unmatched,"Boston Univ, 130 Commonwealth Ave, Boston, MA 02215 USA","Rollinson, Christine R.",1546
369,10.1890/15-1263.1,3,2016,NoMatch,Unmatched,"Univ Montpellier 3, Univ Montpellier, CNRS, CEFE,EPHE, 1919 Route Mende, F-34293 Montpellier 5, France","Fromin, Nathalie",1558
369,10.1890/15-1263.1,3,2016,NoMatch,Unmatched,"CNRS, PROMES, 7 Rue 4 Solaire, F-66120 Odeillo Font Romeu, France","Fromin, Nathalie",1558
371,10.1890/14-2462.1,1,2016,NoMatch,Unmatched,"CSIC, EBD, Ave Amer Vespucio S-N, Seville 41092, Spain","Santoro, Simone",1564
371,10.1890/14-2462.1,1,2016,NoMatch,Unmatched,"CSIC, EBD, Ave Amer Vespucio S-N, Seville 41092, Spain","Green, Andy J.",1565
371,10.1890/14-2462.1,1,2016,NoMatch,Unmatched,"CSIC, EBD, Ave Amer Vespucio S-N, Seville 41092, Spain","Figuerola, Jordi",1566
379,10.1890/15-1109.1,1,2016,NoMatch,Unmatched,"Arizona State Univ, Coll Letters & Sci, Mesa, AZ 85212 USA","Allen, Daniel C.",1596
392,10.1890/15-0444.1,6,2016,NoMatch,Unmatched,"Irvine Ranch Conservancy, 4727 Portola Pkwy, Irvine, CA 92620 USA","Pratt, Riley",1650
396,10.1890/15-0642.1,5,2016,NoMatch,Unmatched,"81 Maribyrnong Ave, Kaleen, ACT 2617, Australia","Clayton, Mark",1666
409,10.1890/15-0596.1,1,2016,NoMatch,Unmatched,"Myvatn Res Stn, IS-660 Myvatn, Iceland","Einarsson, Arni",394
409,10.1890/15-0596.1,1,2016,NoMatch,Unmatched,"Myvatn Res Stn, IS-660 Myvatn, Iceland","Hauptfleisch, Ulf",1705
412,10.1890/15-0204.1,4,2016,NoMatch,Unmatched,1University1,"Mooney, Nick",1724
417,10.1890/15-0379.1,1,2016,NoMatch,Unmatched,"Simon Fraser Univ, IRMACS, Burnaby, BC V5A 1S6, Canada","Hurteau, Leslie A.",1750
417,10.1890/15-0379.1,1,2016,NoMatch,Unmatched,"Simon Fraser Univ, IRMACS, Burnaby, BC V5A 1S6, Canada","Mooers, Arne O.",1751
420,10.1890/15-0635.1,1,2016,NoMatch,Unmatched,"Univ Texas Austin, Austin, TX 78712 USA","Sikes, Benjamin A.",1759
420,10.1890/15-0635.1,1,2016,NoMatch,Unmatched,"Univ Texas Austin, Austin, TX 78712 USA","Hawkes, Christine V.",1760
423,10.1890/15-0298.1,1,2016,NoMatch,Unmatched,"Landcare Res, POB 69040, Lincoln 7640, New Zealand","Peltzer, Duane A.",1774
426,10.1890/15-1503.1,1,2016,NoMatch,Unmatched,"Univ Michigan, Michigan Soc, Ann Arbor, MI 48109 USA","Wood, Chelsea L.",1784
427,10.1002/ecy.1258,1,2016,NoMatch,Unmatched,1University1,"Strong, Donald",1788
427,10.1002/ecy.1258,1,2016,NoMatch,Unmatched,1University1,"Whelan, Anne Marie",1789
428,10.1890/14-1684.1,2,2016,NoMatch,Unmatched,"Coll Holy Cross, Worcester, MA 01610 USA","Sobczak, William V.",1792
429,10.1890/15-0800.1,1,2016,NoMatch,Unmatched,"Arizona State Univ, Coll Letters & Sci, Mesa, AZ 85212 USA","Allen, Daniel C.",1596
436,10.1890/15-0974.1,5,2016,NoMatch,Unmatched,"Univ Rey Juan Carlos, Dept Ciencias, Madrid, Spain","Valladares, Fernando",1825
437,10.1890/15-0148.1,2,2016,NoMatch,Unmatched,1University1,"Stachowicz, John J.",1241
438,10.1890/15-0212.1,11,2016,NoMatch,Unmatched,"Plaza Pueblos 9 1A, Leon 24900, Spain","Mateo-Tomas, Patricia",1833
446,10.1890/14-1134.1,18,2016,NoMatch,Unmatched,"CNRS, UMR7178, F-67087 Strasbourg, France","Viblanc, Vincent A.",1866
458,10.1890/14-2447.1,3,2015,NoMatch,Unmatched,"Bush Heritage Australia, Melbourne, Vic 8009, Australia","Radford, James Q.",1910
475,10.1890/15-0217.1,7,2015,NoMatch,Unmatched,"Univ Maryland, Univ Coll, Adelphi, MD 20783 USA","Loladze, Irakli",1979
489,10.1890/15-0425.1,1,2015,NoMatch,Unmatched,"Univ Lyon, F-69000 Lyon, France","Lardy, Sophie",2022
489,10.1890/15-0425.1,1,2015,NoMatch,Unmatched,"Univ Lyon, F-69000 Lyon, France","Allaine, Dominique",2023
489,10.1890/15-0425.1,1,2015,NoMatch,Unmatched,"Univ Lyon, F-69000 Lyon, France","Bonenfant, Christophe",2024
489,10.1890/15-0425.1,1,2015,NoMatch,Unmatched,"Univ Lyon, F-69000 Lyon, France","Cohas, Aurelie",2025
494,10.1890/15-0191.1,2,2015,NoMatch,Unmatched,1University1,"Strickland, Dan",2042
524,10.2307/1939037,1,1980,NoMatch,Unmatched,1University1,"FREELAND, WJ",2092
525,10.2307/1939038,1,1980,NoMatch,Unmatched,1University1,"ODE, DJ",2093
525,10.2307/1939038,1,1980,NoMatch,Unmatched,1University1,"TIESZEN, LL",2094
525,10.2307/1939038,1,1980,NoMatch,Unmatched,1University1,"LERMAN, JC",2095
539,10.2307/1939052,1,1980,NoMatch,Unmatched,1University1,"HOUGHTON, RA",2117
539,10.2307/1939052,1,1980,NoMatch,Unmatched,1University1,"WOODWELL, GM",2118
541,10.2307/1939054,1,1980,NoMatch,Unmatched,1University1,"LAMBERT, RL",2120
541,10.2307/1939054,1,1980,NoMatch,Unmatched,1University1,"LANG, GE",2121
541,10.2307/1939054,1,1980,NoMatch,Unmatched,1University1,"REINERS, WA",2122
547,10.2307/1939060,1,1980,NoMatch,Unmatched,1University1,"HAEFNER, JW",2127
576,10.2307/1937656,1,1979,NoMatch,Unmatched,1University1,"EHLERINGER, J",2162
576,10.2307/1937656,1,1979,NoMatch,Unmatched,1University1,"MOONEY, HA",2163
576,10.2307/1937656,1,1979,NoMatch,Unmatched,1University1,"BERRY, JA",2164
580,10.2307/1937660,1,1979,NoMatch,Unmatched," MICHIGAN STATE UNIV, E LANSING, MI 48823 USA","EVANS, FC",2172
591,10.2307/1937678,1,1979,NoMatch,Unmatched,1University1,"PRICE, MV",2183
592,10.2307/1937679,1,1979,NoMatch,Unmatched,1University1,"RABENOLD, KR",2184
593,10.2307/1936061,1,1979,NoMatch,Unmatched,1University1,"PRESTON, FW",2185
624,10.2307/1936606,1,1979,NoMatch,Unmatched,1University1,"HALL, CAS",2209
624,10.2307/1936606,1,1979,NoMatch,Unmatched,1University1,"WHITNEY, DE",2210
624,10.2307/1936606,1,1979,NoMatch,Unmatched,1University1,"HOUGHTON, RA",2117
625,10.2307/1936607,1,1979,NoMatch,Unmatched,1University1,"PETRAITIS, PS",2211
628,,1,1979,NoMatch,Unmatched,"UNIV SO CALIF,ALLAN HANCOCK FDN,LOS ANGELES,CA 90007","DEVITA, J",2213
629,10.2307/1936611,1,1979,NoMatch,Unmatched,"UNIV MICHIGAN MUSEUM,ANN ARBOR,MI 48109","COLLINS, JP",2214
632,10.2307/1936614,1,1979,NoMatch,Unmatched,1University1,"GOLDEN, MS",2215
676,10.2307/1936970,1,1979,NoMatch,Unmatched," JUNIOR COLL ALBANY,ALBANY,NY 12208","SCOTT, JT",2250
681,10.2307/1936629,1,1978,NoMatch,Unmatched,"YALE UNIV, NEW HAVEN, CT 06520 USA","BRUGAM, RB",2256
704,10.2307/1936365,1,1978,NoMatch,Unmatched,1University1,"SMARTT, RA",2272
717,10.2307/1936378,1,1978,NoMatch,Unmatched,"UNIV CALIF BERKELEY,BERKELEY,CA 94720","PITT, MD",2283
717,10.2307/1936378,1,1978,NoMatch,Unmatched,"UNIV CALIF BERKELEY,BERKELEY,CA 94720","HEADY, HF",2284
741,10.2307/1936589,1,1978,NoMatch,Unmatched,1University1,"LEVITEN, PJ",2313
763,10.2307/1938784,1,1978,NoMatch,Unmatched,1University1,"MASER, C",2323
763,10.2307/1938784,1,1978,NoMatch,Unmatched,1University1,"NUSSBAUM, RA",2324
763,10.2307/1938784,1,1978,NoMatch,Unmatched,1University1,"TRAPPE, JM",2325
773,10.2307/1938545,1,1978,NoMatch,Unmatched,1University1,"WASER, NM",2334
792,10.2307/1938227,1,1978,NoMatch,Unmatched,1University1,"HUBBELL, SP",2353
792,10.2307/1938227,1,1978,NoMatch,Unmatched,1University1,"JOHNSON, LK",2354
793,10.2307/1938228,1,1978,NoMatch,Unmatched,1University1,"GRANT, PR",2356
793,10.2307/1938228,1,1978,NoMatch,Unmatched,1University1,"ABBOTT, IJ",2357
797,10.2307/1938232,1,1978,NoMatch,Unmatched,1University1,"MURPHY, EC",2362
807,10.2307/1938242,1,1978,NoMatch,Unmatched,1University1,"MUGAAS, JN",2382
807,10.2307/1938242,1,1978,NoMatch,Unmatched,1University1,"KING, JR",2383
808,,1,1978,NoMatch,Unmatched,1University1,GLASSER,2384
812,10.2307/1935104,1,1977,NoMatch,Unmatched,1University1,"COLE, CV",2387
812,10.2307/1935104,1,1977,NoMatch,Unmatched,1University1,"INNIS, GS",2388
812,10.2307/1935104,1,1977,NoMatch,Unmatched,1University1,"STEWART, JWB",2389
827,10.2307/1935119,1,1977,NoMatch,Unmatched,1University1,"FRANZ, EH",2197
827,10.2307/1935119,1,1977,NoMatch,Unmatched,1University1,"BAZZAZ, FA",2379
836,10.2307/1935602,1,1977,NoMatch,Unmatched,1University1,"SWEENEY, BW",2416
836,10.2307/1935602,1,1977,NoMatch,Unmatched,1University1,"SCHNACK, JA",2417
845,10.2307/1935611,1,1977,NoMatch,Unmatched,1University1,"CHAO, L",2428
845,10.2307/1935611,1,1977,NoMatch,Unmatched,1University1,"LEVIN, BR",2429
845,10.2307/1935611,1,1977,NoMatch,Unmatched,1University1,"STEWART, FM",2430
856,10.2307/1935622,1,1977,NoMatch,Unmatched,"NO ARIZONA UNIV,FLAGSTAFF,AZ 86001","REICHMAN, OJ",2445
864,10.2307/1939005,1,1977,NoMatch,Unmatched," TUSKEGEE INST,TUSKEGEE,AL 36088","STEPHENS, EP",2456
865,10.2307/1939006,1,1977,NoMatch,Unmatched,"FLORIDA STATE UNIV,TALLAHASSEE,FL 32306","STRONG, DR",2407
884,10.2307/1936210,1,1977,NoMatch,Unmatched,"UNIV CALIF BERKELEY,ELECTR RES LAB,BERKELEY,CA 94720","LEWIS, ER",2487
888,10.2307/1936214,1,1977,NoMatch,Unmatched,1University1,"MAY, ML",2492
891,10.2307/1936217,1,1977,NoMatch,Unmatched,1University1,"KEELEY, JE",2495
918,10.2307/1936928,1,1977,NoMatch,Unmatched,1University1,"DELCOURT, HR",2527
920,10.2307/1936930,1,1977,NoMatch,Unmatched,1University1,"WERNER, PA",2260
920,10.2307/1936930,1,1977,NoMatch,Unmatched,1University1,"CASWELL, H",2259
943,10.2307/1935086,1,1977,NoMatch,Unmatched,"UNIV OKLAHOMA,STOVALL MUSEUM,NORMAN,OK 73019","SCHNELL, GD",2554
952,10.2307/1936396,1,1976,NoMatch,Unmatched,"UNIV CALIF BERKELEY, ELECTR RES LAB, BERKELEY, CA 94720 USA","LEWIS, ER",2487
962,10.2307/1936406,1,1976,NoMatch,Unmatched,1University1,"HEED, WB",2578
962,10.2307/1936406,1,1976,NoMatch,Unmatched,1University1,"STARMER, WT",2579
962,10.2307/1936406,1,1976,NoMatch,Unmatched,1University1,"MIRANDA, M",2580
962,10.2307/1936406,1,1976,NoMatch,Unmatched,1University1,"MILLER, MW",2581
962,10.2307/1936406,1,1976,NoMatch,Unmatched,1University1,"PHAFF, HJ",2582
963,10.2307/1936407,1,1976,NoMatch,Unmatched,1University1,"TSCHINKEL, WR",2583
963,10.2307/1936407,1,1976,NoMatch,Unmatched,1University1,"VANBELLE, G",2584
992,10.2307/1936428,1,1976,NoMatch,Unmatched,1University1,"MILLER, PC",2614
992,10.2307/1936428,1,1976,NoMatch,Unmatched,1University1,"STONER, WA",2615
992,10.2307/1936428,1,1976,NoMatch,Unmatched,1University1,"TIESZEN, LL",2094
998,10.2307/1936434,1,1976,NoMatch,Unmatched,1University1,"VENO, PA",2621
999,10.2307/1936435,1,1976,NoMatch,Unmatched,"UNIV ILLINOIS,CHAMPAIGN,IL 61820","KENDEIGH, SC",2622
1004,10.1890/13-1828.1,13,2014,NoMatch,Unmatched,"Sci Serv, ZA-1350 Skukuza, South Africa","Govender, Navashni",2633
1004,10.1890/13-1828.1,17,2014,NoMatch,Unmatched,"Sci Serv, Ndlovu Node, SAEON, ZA-1390 Phalaborwa, South Africa","Thompson, Dave I.",2636
1008,10.1890/12-2017.1,7,2014,NoMatch,Unmatched,"Stanford Univ, RISE High Sch Internship Program, Off Sci Outreach, Stanford, CA 94305 USA","Mesfun, Eyobed",2650
1008,10.1890/12-2017.1,7,2014,NoMatch,Unmatched,"Inst Tecnol Huejutla, Huejutla De Reyes 43000, Hidalgo, Mexico","Mendoza Quijano, Fernando",2651
1013,10.1890/13-0655.1,8,2014,NoMatch,Unmatched,"Univ Wisconsin, Wisconsin Inst Discovery, Madison, WI 53715 USA","Wangen, Steven R.",2670
1013,10.1890/13-0655.1,8,2014,NoMatch,Unmatched,"Landcare Res, Lincoln 7640, New Zealand","Wiser, Susan K.",2673
1018,10.1890/13-0764.1,4,2014,NoMatch,Unmatched,1University1,"Cornejo Valverde, Fernando",2689
1024,10.1890/13-1079.1,14,2014,NoMatch,Unmatched,"Syracuse Univ, Syracuse, NY 13244 USA","Wang, Ling",2711
1028,10.1890/13-1233.1,1,2014,NoMatch,Unmatched,"Athabasca Univ, Ctr Sci, Athabasca, AB T9S 3A3, Canada","Treu, Roland",2722
1030,10.1890/13-2212.1,1,2014,NoMatch,Unmatched,"Rothamsted Res, Harpenden AL5 2JQ, Herts, England","Reynolds, Andy M.",2734
